Company_Name	Industry	Symbol	Series	ISIN_Code
360_ONE_WAM_Ltd.	Financial_Services	360ONE	EQ	INE466L01038
3M_India_Ltd.	Diversified	3MINDIA	EQ	INE470A01017
ABB_India_Ltd.	Capital_Goods	ABB	EQ	INE117A01022
ACC_Ltd.	Construction_Materials	ACC	EQ	INE012A01025
AIA_Engineering_Ltd.	Capital_Goods	AIAENG	EQ	INE212H01026
APL_Apollo_Tubes_Ltd.	Capital_Goods	APLAPOLLO	EQ	INE702C01027
AU_Small_Finance_Bank_Ltd.	Financial_Services	AUBANK	EQ	INE949L01017
Aarti_Industries_Ltd.	Chemicals	AARTIIND	EQ	INE769A01020
Aavas_Financiers_Ltd.	Financial_Services	AAVAS	EQ	INE216P01012
Abbott_India_Ltd.	Healthcare	ABBOTINDIA	EQ	INE358A01014
Action_Construction_Equipment_Ltd.	Capital_Goods	ACE	EQ	INE731H01025
Adani_Energy_Solutions_Ltd.	Power	ADANIENSOL	EQ	INE931S01010
Adani_Enterprises_Ltd.	Metals_&_Mining	ADANIENT	EQ	INE423A01024
Adani_Green_Energy_Ltd.	Power	ADANIGREEN	EQ	INE364U01010
Adani_Ports_and_Special_Economic_Zone_Ltd.	Services	ADANIPORTS	EQ	INE742F01042
Adani_Power_Ltd.	Power	ADANIPOWER	EQ	INE814H01011
Adani_Total_Gas_Ltd.	Oil_Gas_&_Consumable_Fuels	ATGL	EQ	INE399L01023
Adani_Wilmar_Ltd.	Fast_Moving_Consumer_Goods	AWL	EQ	INE699H01024
Aditya_Birla_Capital_Ltd.	Financial_Services	ABCAPITAL	EQ	INE674K01013
Aditya_Birla_Fashion_and_Retail_Ltd.	Consumer_Services	ABFRL	EQ	INE647O01011
Aegis_Logistics_Ltd.	Oil_Gas_&_Consumable_Fuels	AEGISLOG	EQ	INE208C01025
Aether_Industries_Ltd.	Chemicals	AETHER	EQ	INE0BWX01014
Affle_(India)_Ltd.	Information_Technology	AFFLE	EQ	INE00WC01027
Ajanta_Pharmaceuticals_Ltd.	Healthcare	AJANTPHARM	EQ	INE031B01049
Alembic_Pharmaceuticals_Ltd.	Healthcare	APLLTD	EQ	INE901L01018
Alkem_Laboratories_Ltd.	Healthcare	ALKEM	EQ	INE540L01014
Alkyl_Amines_Chemicals_Ltd.	Chemicals	ALKYLAMINE	EQ	INE150B01039
Allcargo_Logistics_Ltd.	Services	ALLCARGO	EQ	INE418H01029
Alok_Industries_Ltd.	Textiles	ALOKINDS	EQ	INE270A01029
Amara_Raja_Energy_&_Mobility_Ltd.	Automobile_and_Auto_Components	ARE&M	EQ	INE885A01032
Amber_Enterprises_India_Ltd.	Consumer_Durables	AMBER	EQ	INE371P01015
Ambuja_Cements_Ltd.	Construction_Materials	AMBUJACEM	EQ	INE079A01024
Anand_Rathi_Wealth_Ltd.	Financial_Services	ANANDRATHI	EQ	INE463V01026
Angel_One_Ltd.	Financial_Services	ANGELONE	EQ	INE732I01013
Anupam_Rasayan_India_Ltd.	Chemicals	ANURAS	EQ	INE930P01018
Apar_Industries_Ltd.	Capital_Goods	APARINDS	EQ	INE372A01015
Apollo_Hospitals_Enterprise_Ltd.	Healthcare	APOLLOHOSP	EQ	INE437A01024
Apollo_Tyres_Ltd.	Automobile_and_Auto_Components	APOLLOTYRE	EQ	INE438A01022
Aptus_Value_Housing_Finance_India_Ltd.	Financial_Services	APTUS	EQ	INE852O01025
Archean_Chemical_Industries_Ltd.	Chemicals	ACI	EQ	INE128X01021
Asahi_India_Glass_Ltd.	Automobile_and_Auto_Components	ASAHIINDIA	EQ	INE439A01020
Ashok_Leyland_Ltd.	Capital_Goods	ASHOKLEY	EQ	INE208A01029
Asian_Paints_Ltd.	Consumer_Durables	ASIANPAINT	EQ	INE021A01026
Aster_DM_Healthcare_Ltd.	Healthcare	ASTERDM	EQ	INE914M01019
AstraZenca_Pharma_India_Ltd.	Healthcare	ASTRAZEN	EQ	INE203A01020
Astral_Ltd.	Capital_Goods	ASTRAL	EQ	INE006I01046
Atul_Ltd.	Chemicals	ATUL	EQ	INE100A01010
Aurobindo_Pharma_Ltd.	Healthcare	AUROPHARMA	EQ	INE406A01037
Avanti_Feeds_Ltd.	Fast_Moving_Consumer_Goods	AVANTIFEED	EQ	INE871C01038
Avenue_Supermarts_Ltd.	Consumer_Services	DMART	EQ	INE192R01011
Axis_Bank_Ltd.	Financial_Services	AXISBANK	EQ	INE238A01034
BEML_Ltd.	Capital_Goods	BEML	EQ	INE258A01016
BLS_International_Services_Ltd.	Consumer_Services	BLS	EQ	INE153T01027
BSE_Ltd.	Financial_Services	BSE	EQ	INE118H01025
Bajaj_Auto_Ltd.	Automobile_and_Auto_Components	BAJAJ-AUTO	EQ	INE917I01010
Bajaj_Finance_Ltd.	Financial_Services	BAJFINANCE	EQ	INE296A01024
Bajaj_Finserv_Ltd.	Financial_Services	BAJAJFINSV	EQ	INE918I01026
Bajaj_Holdings_&_Investment_Ltd.	Financial_Services	BAJAJHLDNG	EQ	INE118A01012
Balaji_Amines_Ltd.	Chemicals	BALAMINES	EQ	INE050E01027
Balkrishna_Industries_Ltd.	Automobile_and_Auto_Components	BALKRISIND	EQ	INE787D01026
Balrampur_Chini_Mills_Ltd.	Fast_Moving_Consumer_Goods	BALRAMCHIN	EQ	INE119A01028
Bandhan_Bank_Ltd.	Financial_Services	BANDHANBNK	EQ	INE545U01014
Bank_of_Baroda	Financial_Services	BANKBARODA	EQ	INE028A01039
Bank_of_India	Financial_Services	BANKINDIA	EQ	INE084A01016
Bank_of_Maharashtra	Financial_Services	MAHABANK	EQ	INE457A01014
Bata_India_Ltd.	Consumer_Durables	BATAINDIA	EQ	INE176A01028
Bayer_Cropscience_Ltd.	Chemicals	BAYERCROP	EQ	INE462A01022
Berger_Paints_India_Ltd.	Consumer_Durables	BERGEPAINT	EQ	INE463A01038
Bharat_Dynamics_Ltd.	Capital_Goods	BDL	EQ	INE171Z01026
Bharat_Electronics_Ltd.	Capital_Goods	BEL	EQ	INE263A01024
Bharat_Forge_Ltd.	Automobile_and_Auto_Components	BHARATFORG	EQ	INE465A01025
Bharat_Heavy_Electricals_Ltd.	Capital_Goods	BHEL	EQ	INE257A01026
Bharat_Petroleum_Corporation_Ltd.	Oil_Gas_&_Consumable_Fuels	BPCL	EQ	INE029A01011
Bharti_Airtel_Ltd.	Telecommunication	BHARTIARTL	EQ	INE397D01024
Bikaji_Foods_International_Ltd.	Fast_Moving_Consumer_Goods	BIKAJI	EQ	INE00E101023
Biocon_Ltd.	Healthcare	BIOCON	EQ	INE376G01013
Birla_Corporation_Ltd.	Construction_Materials	BIRLACORPN	EQ	INE340A01012
Birlasoft_Ltd.	Information_Technology	BSOFT	EQ	INE836A01035
Blue_Dart_Express_Ltd.	Services	BLUEDART	EQ	INE233B01017
Blue_Star_Ltd.	Consumer_Durables	BLUESTARCO	EQ	INE472A01039
Bombay_Burmah_Trading_Corporation_Ltd.	Fast_Moving_Consumer_Goods	BBTC	EQ	INE050A01025
Borosil_Renewables_Ltd.	Capital_Goods	BORORENEW	EQ	INE666D01022
Bosch_Ltd.	Automobile_and_Auto_Components	BOSCHLTD	EQ	INE323A01026
Brigade_Enterprises_Ltd.	Realty	BRIGADE	EQ	INE791I01019
Britannia_Industries_Ltd.	Fast_Moving_Consumer_Goods	BRITANNIA	EQ	INE216A01030
C.E._Info_Systems_Ltd.	Information_Technology	MAPMYINDIA	EQ	INE0BV301023
CCL_Products_(I)_Ltd.	Fast_Moving_Consumer_Goods	CCL	EQ	INE421D01022
CESC_Ltd.	Power	CESC	EQ	INE486A01021
CG_Power_and_Industrial_Solutions_Ltd.	Capital_Goods	CGPOWER	EQ	INE067A01029
CIE_Automotive_India_Ltd.	Automobile_and_Auto_Components	CIEINDIA	EQ	INE536H01010
CRISIL_Ltd.	Financial_Services	CRISIL	EQ	INE007A01025
CSB_Bank_Ltd.	Financial_Services	CSBBANK	EQ	INE679A01013
Campus_Activewear_Ltd.	Consumer_Durables	CAMPUS	EQ	INE278Y01022
Can_Fin_Homes_Ltd.	Financial_Services	CANFINHOME	EQ	INE477A01020
Canara_Bank	Financial_Services	CANBK	EQ	INE476A01022
Caplin_Point_Laboratories_Ltd.	Healthcare	CAPLIPOINT	EQ	INE475E01026
Capri_Global_Capital_Ltd.	Financial_Services	CGCL	EQ	INE180C01042
Carborundum_Universal_Ltd.	Capital_Goods	CARBORUNIV	EQ	INE120A01034
Castrol_India_Ltd.	Oil_Gas_&_Consumable_Fuels	CASTROLIND	EQ	INE172A01027
Ceat_Ltd.	Automobile_and_Auto_Components	CEATLTD	EQ	INE482A01020
Cello_World_Ltd.	Consumer_Durables	CELLO	EQ	INE0LMW01024
Central_Bank_of_India	Financial_Services	CENTRALBK	EQ	INE483A01010
Central_Depository_Services_(India)_Ltd.	Financial_Services	CDSL	EQ	INE736A01011
Century_Plyboards_(India)_Ltd.	Consumer_Durables	CENTURYPLY	EQ	INE348B01021
Century_Textile_&_Industries_Ltd.	Forest_Materials	CENTURYTEX	EQ	INE055A01016
Cera_Sanitaryware_Ltd	Consumer_Durables	CERA	EQ	INE739E01017
Chalet_Hotels_Ltd.	Consumer_Services	CHALET	EQ	INE427F01016
Chambal_Fertilizers_&_Chemicals_Ltd.	Chemicals	CHAMBLFERT	EQ	INE085A01013
Chemplast_Sanmar_Ltd.	Chemicals	CHEMPLASTS	EQ	INE488A01050
Chennai_Petroleum_Corporation_Ltd.	Oil_Gas_&_Consumable_Fuels	CHENNPETRO	EQ	INE178A01016
Cholamandalam_Financial_Holdings_Ltd.	Financial_Services	CHOLAHLDNG	EQ	INE149A01033
Cholamandalam_Investment_and_Finance_Company_Ltd.	Financial_Services	CHOLAFIN	EQ	INE121A01024
Cipla_Ltd.	Healthcare	CIPLA	EQ	INE059A01026
City_Union_Bank_Ltd.	Financial_Services	CUB	EQ	INE491A01021
Clean_Science_and_Technology_Ltd.	Chemicals	CLEAN	EQ	INE227W01023
Coal_India_Ltd.	Oil_Gas_&_Consumable_Fuels	COALINDIA	EQ	INE522F01014
Cochin_Shipyard_Ltd.	Capital_Goods	COCHINSHIP	EQ	INE704P01025
Coforge_Ltd.	Information_Technology	COFORGE	EQ	INE591G01017
Colgate_Palmolive_(India)_Ltd.	Fast_Moving_Consumer_Goods	COLPAL	EQ	INE259A01022
Computer_Age_Management_Services_Ltd.	Financial_Services	CAMS	EQ	INE596I01012
Concord_Biotech_Ltd.	Healthcare	CONCORDBIO	EQ	INE338H01029
Container_Corporation_of_India_Ltd.	Services	CONCOR	EQ	INE111A01025
Coromandel_International_Ltd.	Chemicals	COROMANDEL	EQ	INE169A01031
Craftsman_Automation_Ltd.	Automobile_and_Auto_Components	CRAFTSMAN	EQ	INE00LO01017
CreditAccess_Grameen_Ltd.	Financial_Services	CREDITACC	EQ	INE741K01010
Crompton_Greaves_Consumer_Electricals_Ltd.	Consumer_Durables	CROMPTON	EQ	INE299U01018
Cummins_India_Ltd.	Capital_Goods	CUMMINSIND	EQ	INE298A01020
Cyient_Ltd.	Information_Technology	CYIENT	EQ	INE136B01020
DCM_Shriram_Ltd.	Diversified	DCMSHRIRAM	EQ	INE499A01024
DLF_Ltd.	Realty	DLF	EQ	INE271C01023
DOMS_Industries_Ltd.	Fast_Moving_Consumer_Goods	DOMS	EQ	INE321T01012
Dabur_India_Ltd.	Fast_Moving_Consumer_Goods	DABUR	EQ	INE016A01026
Dalmia_Bharat_Ltd.	Construction_Materials	DALBHARAT	EQ	INE00R701025
Data_Patterns_(India)_Ltd.	Capital_Goods	DATAPATTNS	EQ	INE0IX101010
Deepak_Fertilisers_&_Petrochemicals_Corp._Ltd.	Chemicals	DEEPAKFERT	EQ	INE501A01019
Deepak_Nitrite_Ltd.	Chemicals	DEEPAKNTR	EQ	INE288B01029
Delhivery_Ltd.	Services	DELHIVERY	EQ	INE148O01028
Devyani_International_Ltd.	Consumer_Services	DEVYANI	EQ	INE872J01023
Divi's_Laboratories_Ltd.	Healthcare	DIVISLAB	EQ	INE361B01024
Dixon_Technologies_(India)_Ltd.	Consumer_Durables	DIXON	EQ	INE935N01020
Dr._Lal_Path_Labs_Ltd.	Healthcare	LALPATHLAB	EQ	INE600L01024
Dr._Reddy's_Laboratories_Ltd.	Healthcare	DRREDDY	EQ	INE089A01023
Dummy_Raymond_Ltd.	Textiles	DUMMYRAYMD	BE	DUM301A01014
Dummy_Sanofi_India_Ltd.	Healthcare	DUMMYSANOF	BE	DUM058A01010
E.I.D._Parry_(India)_Ltd.	Chemicals	EIDPARRY	EQ	INE126A01031
EIH_Ltd.	Consumer_Services	EIHOTEL	EQ	INE230A01023
EPL_Ltd.	Capital_Goods	EPL	EQ	INE255A01020
Easy_Trip_Planners_Ltd.	Consumer_Services	EASEMYTRIP	EQ	INE07O001026
Eicher_Motors_Ltd.	Automobile_and_Auto_Components	EICHERMOT	EQ	INE066A01021
Elecon_Engineering_Co._Ltd.	Capital_Goods	ELECON	EQ	INE205B01031
Elgi_Equipments_Ltd.	Capital_Goods	ELGIEQUIP	EQ	INE285A01027
Emami_Ltd.	Fast_Moving_Consumer_Goods	EMAMILTD	EQ	INE548C01032
Endurance_Technologies_Ltd.	Automobile_and_Auto_Components	ENDURANCE	EQ	INE913H01037
Engineers_India_Ltd.	Construction	ENGINERSIN	EQ	INE510A01028
Equitas_Small_Finance_Bank_Ltd.	Financial_Services	EQUITASBNK	EQ	INE063P01018
Eris_Lifesciences_Ltd.	Healthcare	ERIS	EQ	INE406M01024
Escorts_Kubota_Ltd.	Capital_Goods	ESCORTS	EQ	INE042A01014
Exide_Industries_Ltd.	Automobile_and_Auto_Components	EXIDEIND	EQ	INE302A01020
FDC_Ltd.	Healthcare	FDC	EQ	INE258B01022
FSN_E-Commerce_Ventures_Ltd.	Consumer_Services	NYKAA	EQ	INE388Y01029
Federal_Bank_Ltd.	Financial_Services	FEDERALBNK	EQ	INE171A01029
Fertilisers_and_Chemicals_Travancore_Ltd.	Chemicals	FACT	EQ	INE188A01015
Fine_Organic_Industries_Ltd.	Chemicals	FINEORG	EQ	INE686Y01026
Finolex_Cables_Ltd.	Capital_Goods	FINCABLES	EQ	INE235A01022
Finolex_Industries_Ltd.	Capital_Goods	FINPIPE	EQ	INE183A01024
Firstsource_Solutions_Ltd.	Services	FSL	EQ	INE684F01012
Five-Star_Business_Finance_Ltd.	Financial_Services	FIVESTAR	EQ	INE128S01021
Fortis_Healthcare_Ltd.	Healthcare	FORTIS	EQ	INE061F01013
GAIL_(India)_Ltd.	Oil_Gas_&_Consumable_Fuels	GAIL	EQ	INE129A01019
GMM_Pfaudler_Ltd.	Capital_Goods	GMMPFAUDLR	EQ	INE541A01023
GMR_Airports_Infrastructure_Ltd.	Services	GMRINFRA	EQ	INE776C01039
Garden_Reach_Shipbuilders_&_Engineers_Ltd.	Capital_Goods	GRSE	EQ	INE382Z01011
General_Insurance_Corporation_of_India	Financial_Services	GICRE	EQ	INE481Y01014
Gillette_India_Ltd.	Fast_Moving_Consumer_Goods	GILLETTE	EQ	INE322A01010
Gland_Pharma_Ltd.	Healthcare	GLAND	EQ	INE068V01023
Glaxosmithkline_Pharmaceuticals_Ltd.	Healthcare	GLAXO	EQ	INE159A01016
Glenmark_Life_Sciences_Ltd.	Healthcare	GLS	EQ	INE03Q201024
Glenmark_Pharmaceuticals_Ltd.	Healthcare	GLENMARK	EQ	INE935A01035
Global_Health_Ltd.	Healthcare	MEDANTA	EQ	INE474Q01031
Godawari_Power_&_Ispat_Ltd.	Capital_Goods	GPIL	EQ	INE177H01021
Godfrey_Phillips_India_Ltd.	Fast_Moving_Consumer_Goods	GODFRYPHLP	EQ	INE260B01028
Godrej_Consumer_Products_Ltd.	Fast_Moving_Consumer_Goods	GODREJCP	EQ	INE102D01028
Godrej_Industries_Ltd.	Diversified	GODREJIND	EQ	INE233A01035
Godrej_Properties_Ltd.	Realty	GODREJPROP	EQ	INE484J01027
Granules_India_Ltd.	Healthcare	GRANULES	EQ	INE101D01020
Graphite_India_Ltd.	Capital_Goods	GRAPHITE	EQ	INE371A01025
Grasim_Industries_Ltd.	Construction_Materials	GRASIM	EQ	INE047A01021
Great_Eastern_Shipping_Co._Ltd.	Services	GESHIP	EQ	INE017A01032
Grindwell_Norton_Ltd.	Capital_Goods	GRINDWELL	EQ	INE536A01023
Gujarat_Ambuja_Exports_Ltd.	Fast_Moving_Consumer_Goods	GAEL	EQ	INE036B01030
Gujarat_Fluorochemicals_Ltd.	Chemicals	FLUOROCHEM	EQ	INE09N301011
Gujarat_Gas_Ltd.	Oil_Gas_&_Consumable_Fuels	GUJGASLTD	EQ	INE844O01030
Gujarat_Mineral_Development_Corporation_Ltd.	Metals_&_Mining	GMDCLTD	EQ	INE131A01031
Gujarat_Narmada_Valley_Fertilizers_and_Chemicals_Ltd.	Chemicals	GNFC	EQ	INE113A01013
Gujarat_Pipavav_Port_Ltd.	Services	GPPL	EQ	INE517F01014
Gujarat_State_Fertilizers_&_Chemicals_Ltd.	Chemicals	GSFC	EQ	INE026A01025
Gujarat_State_Petronet_Ltd.	Oil_Gas_&_Consumable_Fuels	GSPL	EQ	INE246F01010
H.E.G._Ltd.	Capital_Goods	HEG	EQ	INE545A01016
HBL_Power_Systems_Ltd.	Automobile_and_Auto_Components	HBLPOWER	EQ	INE292B01021
HCL_Technologies_Ltd.	Information_Technology	HCLTECH	EQ	INE860A01027
HDFC_Asset_Management_Company_Ltd.	Financial_Services	HDFCAMC	EQ	INE127D01025
HDFC_Bank_Ltd.	Financial_Services	HDFCBANK	EQ	INE040A01034
HDFC_Life_Insurance_Company_Ltd.	Financial_Services	HDFCLIFE	EQ	INE795G01014
HFCL_Ltd.	Telecommunication	HFCL	EQ	INE548A01028
Happiest_Minds_Technologies_Ltd.	Information_Technology	HAPPSTMNDS	EQ	INE419U01012
Happy_Forgings_Ltd.	Capital_Goods	HAPPYFORGE	EQ	INE330T01021
Havells_India_Ltd.	Consumer_Durables	HAVELLS	EQ	INE176B01034
Hero_MotoCorp_Ltd.	Automobile_and_Auto_Components	HEROMOTOCO	EQ	INE158A01026
Himadri_Speciality_Chemical_Ltd.	Chemicals	HSCL	EQ	INE019C01026
Hindalco_Industries_Ltd.	Metals_&_Mining	HINDALCO	EQ	INE038A01020
Hindustan_Aeronautics_Ltd.	Capital_Goods	HAL	EQ	INE066F01020
Hindustan_Copper_Ltd.	Metals_&_Mining	HINDCOPPER	EQ	INE531E01026
Hindustan_Petroleum_Corporation_Ltd.	Oil_Gas_&_Consumable_Fuels	HINDPETRO	EQ	INE094A01015
Hindustan_Unilever_Ltd.	Fast_Moving_Consumer_Goods	HINDUNILVR	EQ	INE030A01027
Hindustan_Zinc_Ltd.	Metals_&_Mining	HINDZINC	EQ	INE267A01025
Hitachi_Energy_India_Ltd.	Capital_Goods	POWERINDIA	EQ	INE07Y701011
Home_First_Finance_Company_India_Ltd.	Financial_Services	HOMEFIRST	EQ	INE481N01025
Honasa_Consumer_Ltd.	Fast_Moving_Consumer_Goods	HONASA	EQ	INE0J5401028
Honeywell_Automation_India_Ltd.	Capital_Goods	HONAUT	EQ	INE671A01010
Housing_&_Urban_Development_Corporation_Ltd.	Financial_Services	HUDCO	EQ	INE031A01017
ICICI_Bank_Ltd.	Financial_Services	ICICIBANK	EQ	INE090A01021
ICICI_Lombard_General_Insurance_Company_Ltd.	Financial_Services	ICICIGI	EQ	INE765G01017
ICICI_Prudential_Life_Insurance_Company_Ltd.	Financial_Services	ICICIPRULI	EQ	INE726G01019
ICICI_Securities_Ltd.	Financial_Services	ISEC	EQ	INE763G01038
IDBI_Bank_Ltd.	Financial_Services	IDBI	EQ	INE008A01015
IDFC_First_Bank_Ltd.	Financial_Services	IDFCFIRSTB	EQ	INE092T01019
IDFC_Ltd.	Financial_Services	IDFC	EQ	INE043D01016
IIFL_Finance_Ltd.	Financial_Services	IIFL	EQ	INE530B01024
IRB_Infrastructure_Developers_Ltd.	Construction	IRB	EQ	INE821I01022
IRCON_International_Ltd.	Construction	IRCON	EQ	INE962Y01021
ITC_Ltd.	Fast_Moving_Consumer_Goods	ITC	EQ	INE154A01025
ITI_Ltd.	Telecommunication	ITI	EQ	INE248A01017
India_Cements_Ltd.	Construction_Materials	INDIACEM	EQ	INE383A01012
Indiamart_Intermesh_Ltd.	Consumer_Services	INDIAMART	EQ	INE933S01016
Indian_Bank	Financial_Services	INDIANB	EQ	INE562A01011
Indian_Energy_Exchange_Ltd.	Financial_Services	IEX	EQ	INE022Q01020
